"Full Title (data-videoMain left of hyphen, data-videoSubName right of hyphen)",Credits,data-longVideo Value,Video Src Location,Video Poster Location
Goldlink - Metatron,"Production Company: EXGF
Director: Cole Santiago
DP: Bradley Credit

Editor: Nasser Boulaich","<div style=""width:100%;height:0;position: relative;padding-bottom:66.66667%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/6FLGkprjnx1Lftx0cPgdDA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",videos/short/to_compress/vc-goldlink-metatron-02 cover 1080p.mp4,videos/short/vc-goldlink-metatron-02 cover 1080p.png
Samara Cyn - Chrome,"Production Company: Softspot
Director: Hannan Hussain, Nasser Boulaich
DP: Justin McWilliams

Editor: Nasser Boulaich","<div style=""width:100%;height:0;position: relative;padding-bottom:68.64583%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/VC_oee_Lyh901rJaL5a7lg/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",videos/short/to_compress/vc-samaracyn-chrome-12 cover 1080p.mp4,videos/short/vc-samaracyn-chrome-12 cover 1080p.png
Chase Shakur - 2OfUs,"Production Company: SonSon Productions
Director: Khari McCloud
DP: Benji Flores

Editor: Nasser Boulaich","<div style=""width:100%;height:0;position: relative;padding-bottom:75.00000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/tAXaqOHJpgJ4C37bdsQHpQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",videos/short/to_compress/vc-chaseshakur-2ofus-02 cover 1080p.mp4,videos/short/vc-chaseshakur-2ofus-02 cover 1080p.png
Kenny Mason - Angelic Hoodrat,"Production Company: NorthOfNow
Director: Nasser Boulaich
DP: Corey C Waters

Editor: Nasser Boulaich","<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/hQ1v_TQ8QkIAXPeEcw-9Qg/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",videos/short/to_compress/vc-kennymason-angelichoodrat-05 cover 1080p.mp4,videos/short/vc-kennymason-angelichoodrat-05 cover 1080p.png
Kenny Mason - EXXON,"Production Company: Bear Witness
Director: Nasser Boulaich, Aditya Pamidi
DP: Corey C Waters

Editor: Nasser Boulaich","<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/OE_QrQIrx8s0TrTnrrGPLQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",videos/short/to_compress/vc-kennymason-exxon-03 cover 1080p.mp4,videos/short/vc-kennymason-exxon-03 cover 1080p.png
SKUFL - Saint,"Production Company: Bear Witness
Director: Nasser Boulaich, Aditya Pamidi
DP: Avery Stedman

Editor: Nasser Boulaich","<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/aMi_jOcCJlHGgCUtxWCLXg/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",videos/short/to_compress/vc-skufl-saint-02 cover 1080p.mp4,videos/short/vc-skufl-saint-02 cover 1080p.png
Clipse - So Be It,"Production Company: Softspot
Director: Hannan Hussain
DP: Liam Reardon

Editor: Nasser Boulaich
Sound Design: Ayo Douson","<div style=""width:100%;height:0;position: relative;padding-bottom:75.00000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/DLJXToSmceTV9cJdah0CQg/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",videos/short/to_compress/vc-clipse-sobeit-02 cover 1080p.mp4,videos/short/vc-clipse-sobeit-02 cover 1080p.png
SKUFL - Eyes Open,"Production Company: Bear Witness, Parallel Studios
Director: Ashley Rodholm
DP: Benji Flores

Editor: Nasser Boulaich
Colorist: Wilhends Norvil
Color Producer: Chris Carson","<div style=""width:100%;height:0;position: relative;padding-bottom:75.00000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/uft9UnysoZEtFBFpQsDbwA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",videos/short/to_compress/vc-skufl-eyesopen-04 cover 1080p.mp4,videos/short/vc-skufl-eyesopen-04 cover 1080p.png
Samaria - Even Paradise Rains,"Production Company: Parallel Studios
Director: Nasser Boulaich
DP: Neema Sadeghi

Editor: Nasser Boulaich","<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/Ny9IhXP5DIynkJZSTVqN3Q/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",videos/short/to_compress/vc-samaria-epr-03 cover 1080p.mp4,videos/short/vc-samaria-epr-03 cover 1080p.png
Travis Scott x Jumpan - TREXX,"Production Company: GameSeven
Director: Hannan Hussain
DP: Mike Koziel

Post Producer: Alex Peterson
Editor: Nasser Boulaich
VFX: Le Jumper
Sound: Ayo Douson","<div style=""width:100%;height:0;position: relative;padding-bottom:75.00000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/Q2RqNy4x2DfXmiA7lk_ABw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",videos/short/to_compress/vc-travisscott-jordan-01 cover 1080p.mp4,videos/short/vc-travisscott-jordan-01 cover 1080p.png
